year,energy_type,country_code,energy
1980,natural_gas,GRL,0
1980,petroleum,GRL,0.007817076
1980,all_renewable,GRL,0
1980,renewables,GRL,0
1980,total,GRD,0.000613575
1980,coal,GRD,0
1980,natural_gas,GRD,0
1980,petroleum,GRD,0.000613575
1980,all_renewable,GRD,0
1980,renewables,GRD,0
1980,total,GLP,0.007058532
1980,coal,GLP,0
1980,natural_gas,GLP,0
1980,petroleum,GLP,0.007058532
1980,all_renewable,GLP,0
1980,renewables,GLP,0
1980,total,GUM,0.049958632
1980,coal,GUM,0
1980,natural_gas,GUM,0
1980,petroleum,GUM,0.049958632
1980,all_renewable,GUM,0
1980,renewables,GUM,0
1980,total,GTM,0.064524167
1980,coal,GTM,0
1980,natural_gas,GTM,0
1980,petroleum,GTM,0.058634171
1980,all_renewable,GTM,0.005889996
1980,renewables,GTM,0.005889996
1980,total,GIN,0.013599254
1980,coal,GIN,0
1980,natural_gas,GIN,0
1980,petroleum,GIN,0.01206183
1980,all_renewable,GIN,0.001537424
1980,renewables,GIN,0.001537424
1980,total,GNB,0.001222341
1980,coal,GNB,0
1980,natural_gas,GNB,0
1980,petroleum,GNB,0.001222341
1980,all_renewable,GNB,0
1980,renewables,GNB,0
1980,total,GUY,0.020822709
1980,coal,GUY,0
1980,natural_gas,GUY,0
1980,petroleum,GUY,0.020770769
1980,all_renewable,GUY,0.00005194
1980,renewables,GUY,0.00005194
1980,total,HTI,0.016136709
1980,coal,HTI,0.001148112
1980,natural_gas,HTI,0
1980,petroleum,HTI,0.012609746
1980,all_renewable,HTI,0.002378852
1980,renewables,HTI,0.002378852
1980,total,HITZ,0.095642316
1980,coal,HITZ,0
1980,natural_gas,HITZ,0
1980,petroleum,HITZ,0.095642316
1980,all_renewable,HITZ,0
1980,nuclear,HITZ,
1980,renewables,HITZ,0
1980,total,HND,0.032939985
1980,coal,HND,0
1980,natural_gas,HND,0
1980,petroleum,HND,0.024934097
1980,all_renewable,HND,0.008005888
1980,renewables,HND,0.008005888
1980,total,HKG,0.265054266
1980,coal,HKG,7.72221E-05
1980,natural_gas,HKG,0
1980,petroleum,HKG,0.265871871
1980,all_renewable,HKG,-0.000894827
